name	season
乙女ゲームの破滅フラグしかない悪役令嬢に転生してしまった…X	2021年夏
SHAMAN KING	2021年春
EDENS ZERO	2021年春
Re:ゼロから始める異世界生活 2ndシーズン 第2部	2021年冬
ステイングベイビーズ	2020年春
大家さんと僕 シーズン2	2020年春
きみのおうちへ	2008年秋
チート薬師のスローライフ ～異世界に作ろうドラッグストア～	2021年夏
女神寮の寮母くん。	2021年夏
トムとジェリー ショー3	2020年冬
超普通都市カシワ伝説R	2020年夏
吸血鬼すぐ死ぬ	2021年秋
俺だけ入れる隠しダンジョン	2021年冬
終末のハーレム	2022年冬
半妖の夜叉姫 -戦国御伽草子-	2020年秋
神様になった日	2020年秋
キングスレイド 意志を継ぐものたち	2020年秋
THE GOD OF HIGH SCHOOL ゴッド・オブ・ハイスクール	2020年夏
いわかける！ -Sport Climbing Girls-	2020年秋
禍つヴァールハイト -ZUERST-	2020年秋
レヱル・ロマネスク	2020年秋
はたらく細胞BLACK	2021年冬
異世界魔王と召喚少女の奴隷魔術Ω	2021年春
無能なナナ	2020年秋
現実主義勇者の王国再建記	2021年夏
キラッとプリ☆チャン シーズン3	2020年春
GETUP! GETLIVE! #げらげら	2020年夏
舞妓さんちのまかないさん	2021年冬
魔術士オーフェンはぐれ旅 キムラック編	2021年冬
ハイキュー!! TO THE TOP 第2クール	2020年秋
僕のヒーローアカデミア (第5期)	2021年春
アサティール 未来の昔ばなし	2020年春
転生したらスライムだった件 第2期 第2部	2021年夏
マギアレコード 魔法少女まどか☆マギカ外伝 2nd SEASON ‐覚醒前夜‐	2021年夏
WIXOSS DIVA(A)LIVE	2021年冬
七つの大罪 憤怒の審判	2021年冬
ひぐらしのなく頃に業	2020年秋
転生したらスライムだった件 転スラ日記	2021年春
巨人族の花嫁	2020年夏
86―エイティシックス―	2021年春
戦闘員、派遣します！	2021年春
おちゃのじかんのじかんにきたとら	2019年秋
アクダマドライブ	2020年秋
ガル学。～聖ガールズスクエア学院～	2020年春
100万の命の上に俺は立っている	2020年秋
トニカクカワイイ	2020年秋
魔入りました！入間くん 第2シリーズ	2021年春
戦翼のシグルドリーヴァ	2020年秋
俺の指で乱れろ。～閉店後二人きりのサロンで…～	2020年春
大家さんと僕	2020年冬
内田春菊の呪いのワンピース	1992年夏
神達に拾われた男	2020年秋
