name	season
アイドルマスター SideM	2017年秋
されど罪人は竜と踊る	2018年春
DYNAMIC CHORD	2017年秋
URAHARA	2017年秋
ヴァイオレット・エヴァーガーデン	2018年冬
ダーリン・イン・ザ・フランキス	2018年冬
Dies irae	2017年秋
Just Because!	2017年秋
マーベル フューチャー・アベンジャーズ	2017年夏
citrus【シトラス】	2018年冬
キノの旅 -the Beautiful World- the Animated Series	2017年秋
終物語 第2期	2017年夏
宝石の国	2017年秋
ブレンド・S	2017年秋
イケメン戦国◆時をかけるが恋は始まらない	2017年夏
Robomasters: The Animated Series	2017年秋
スカートの中はケダモノでした。	2017年夏
縁結びの妖狐ちゃん	2017年夏
ようこそ実力至上主義の教室へ	2017年夏
捏造トラップ-NTR-	2017年夏
クリオネの灯り	2017年夏
結城友奈は勇者である -鷲尾須美の章-/-勇者の章-	2017年秋
UQ HOLDER! ～魔法先生ネギま!2～	2017年秋
魔法使いの嫁	2017年秋
鬼灯の冷徹 (第弐期)	2017年秋
クラシカロイド (第2シリーズ)	2017年秋
アニメガタリズ	2017年秋
ひとりじめマイヒーロー	2017年夏
セントールの悩み	2017年夏
コンビニカレシ	2017年夏
アクションヒロイン チアフルーツ	2017年夏
干物妹！うまるちゃんR	2017年秋
クジラの子らは砂上に歌う	2017年秋
妖怪アパートの幽雅な日常	2017年夏
魔法陣グルグル (2017年)	2017年夏
プリンセス・プリンシパル	2017年夏
戦姫絶唱シンフォギアAXZ	2017年夏
時間の支配者	2017年夏
THE REFLECTION –ザ・リフレクション–	2017年夏
ゲーマーズ！	2017年夏
カイトアンサ	2017年夏
18if	2017年夏
ラーメン大好き小泉さん	2018年冬
ポプテピピック	2018年冬
NEW GAME!!	2017年夏
僧侶と交わる色欲の夜に…	2017年春
異世界はスマートフォンとともに。	2017年夏
バチカン奇跡調査官	2017年夏
はじめてのギャル	2017年夏
ナイツ＆マジック	2017年夏
徒然チルドレン	2017年夏
恋と嘘	2017年夏
地獄少女 宵伽	2017年夏
潔癖男子！青山くん	2017年夏
ナナマル サンバツ	2017年夏
恋は雨上がりのように	2018年冬
賭ケグルイ	2017年夏
最遊記RELOAD BLAST	2017年夏
アホガール	2017年夏
アリスと蔵六	2017年春
ひなろじ～from Luck & Logic～	2017年夏
バトルガール ハイスクール	2017年夏
天使の3P！	2017年夏
いぬやしき	2017年秋
メイドインアビス	2017年夏
ボールルームへようこそ	2017年夏
sin 七つの大罪	2017年春
Fate/Apocrypha	2017年夏
将国のアルタイル	2017年夏
活撃 刀剣乱舞	2017年夏
ラブ米 -WE LOVE RICE-	2017年春
終末なにしてますか？ 忙しいですか？ 救ってもらっていいですか？	2017年春
カードキャプターさくら クリアカード編	2018年冬
サクラクエスト	2017年春
フルメタル･パニック！ Invisible Victory	2018年春
ゼロから始める魔法の書	2017年春
ひなこのーと	2017年春
冴えない彼女の育てかた♭	2017年春
エロマンガ先生	2017年春
アルティメット・スパイダーマン VS シニスター・シックス	2016年春
マナリアフレンズ	2019年冬
頭文字D Final Stage	2014年春
城下町のダンデライオン	2015年夏
アルティメット・スパイダーマン ウェブ・ウォーリアーズ	2015年春
赤髪の白雪姫	2015年夏
Free! -Eternal Summer-	2014年夏
普通の女子校生が【ろこどる】やってみた。	2014年夏
僕らはみんな河合荘	2014年春
ワルキューレ ロマンツェ	2013年秋
ロミオの青い空	1995年冬
ルパン三世VS名探偵コナン	2009年冬
ラブ★コン	2007年春
よみがえる空 -RESCUE WINGS-	2006年冬
ヤダモン	1992年夏
メタルファイター MIKU	1994年夏
MAJOR 第6シリーズ	2010年春
MAJOR 第5シリーズ	2009年冬
MAJOR 第4シリーズ	2008年冬
MAJOR 第3シリーズ	2007年冬
MAJOR 第2シリーズ	2005年秋
MAJOR	2004年秋
無限のリヴァイアス	1999年秋
無敵鋼人ダイターン3	1978年春
南の虹のルーシー	1982年冬
魔法先生ネギま！	2005年冬
魔法のスター マジカルエミ	1985年春
坊っちゃん	1980年春
新世紀GPXサイバーフォーミュラ	1991年冬
フランダースの犬	1975年冬
Free!	2013年夏
バンブーブレード	2007年秋
バッカーノ！	2007年夏
HUNTER×HUNTER	1999年秋
ノワール (NOIR)	2001年春
NARUTO -ナルト-	2002年秋
ダーティペア	1985年夏
それでも町は廻っている	2010年秋
それいけ！アンパンマン	1988年秋
Strawberry Panic	2006年春
小公女セーラ	1985年冬
じゃりン子チエ	1981年秋
桜Trick	2014年冬
GOSICK―ゴシック―	2011年冬
キャッツ・アイ 2nd season	1984年秋
キャッツ・アイ	1983年夏
風の中の少女 金髪のジェニー	1992年秋
家族ロビンソン漂流記 ふしぎな島のフローネ	1981年冬
ガドガード	2003年春
おれは鉄兵	1977年夏
エースをねらえ！	1973年秋
頭文字D Second Stage	1999年秋
頭文字D Fourth Stage	2004年春
頭文字D Fifth Stage	2012年秋
頭文字D First Stage	1998年春
赤毛のアン	1979年冬
アマガミSS	2010年夏
